,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
4520,"Karlach, Fury of Avernus (Foil Etched)",5/4 Legendary Creature - Tiefling Barbarian,5,R,M,NM,5.99,Commander Legends: Battle for Baldur's Gate Variants,"Whenever you attack, if it's the first combat phase of the turn, untap all attacking creatures. They gain first strike until end of turn. After this phase, there is an additional combat phase.Choose a Background "
4521,Gemstone Mine,Land,0,,S,NM,5.99,Timeshifted,"Gemstone Mine enters the battlefield with three mining counters on it.{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color to your mana pool. If there are no mining counters on Gemstone Mine, sacrifice it."
4522,Wake the Dead,Instant,3,XBB,R,NM,5.99,Commander 2014,Cast Wake the Dead only during combat on an opponent's turn.Return X target creature cards from your graveyard to the battlefield. Sacrifice those creatures at the beginning of the next end step.
4523,"Yorion, Sky Nomad (Extended Art)",4/5 Legendary Creature - Bird Serpent,5,(W/U)(W/U),R,NM,5.99,Ikoria: Lair of Behemoths Variants,"Companion - Your starting deck contains at least twenty cards more than the minimum deck size. FlyingWhen Yorion enters the battlefield, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step."
4524,Talisman of Impulse,Artifact,2,,U,NM,2.29,Mirrodin,{T}: Add {C} to your mana pool.{T}: Add {R} or {G} to your mana pool. Talisman of Impulse deals 1 damage to you.
4525,Sevinne's Reclamation,Sorcery,3,W,R,NM,2.99,Commander 2019,"Return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield. If this spell was cast from a graveyard, you may copy this spell and may choose a new target for the copy.Flashback {4}{W} "
4526,Unclaimed Territory,Land,0,,U,NM,0.99,Ixalan,"As Unclaimed Territory enters the battlefield, choose a creature type.{T}: Add {C} to your mana pool.{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
4527,Scholar of New Horizons (Extended Art),1/1 Creature - Human Scout,2,W,R,NM,1.99,The Brothers' War Commander Decks Variants,"Scholar of New Horizons enters the battlefield with a +1/+1 counter on it.{T}, Remove a counter from a permanent you control: Search your library for a Plains card and reveal it. If an opponent controls more lands than you, you may put that card onto the battlefield tapped. If you don't put the card onto the battlefield, put it into your hand. Then shuffle."
4528,Thorn of Amethyst (Schematic Art),Artifact,2,,R,NM,3.49,The Brothers' War Retro Artifacts,Noncreature spells cost {1} more to cast.
4529,Reality Shift,Instant,2,U,U,NM,1.49,Kamigawa: Neon Dynasty Commander Decks,Exile target creature. Its controller manifests the top card of their library 
4530,Diabolic Tutor,Sorcery,4,BB,U,NM,1.49,Kaladesh,Search your library for a card and put that card into your hand. Then shuffle your library.
4531,Brave the Elements,Instant,1,W,U,NM,1.49,Zendikar,Choose a color. White creatures you control gain protection from the chosen color until end of turn.
4532,Batterskull,Artifact - Equipment,5,,M,NM,4.99,Double Masters,Living weapon Equipped creature gets +4/+4 and has vigilance and lifelink.{3}: Return Batterskull to its owner's hand.Equip {5}
4533,Polymorphist's Jest,Instant,3,UU,R,NM,4.99,Commander 2017,"Until end of turn, each creature target player controls loses all abilities and becomes a blue Frog with base power and toughness 1/1."
4534,Reckless Bushwhacker,2/1 Creature - Goblin Warrior Ally,3,R,U,NM,1.79,Oath of the Gatewatch,"Surge {1}{R}HasteWhen Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn."
4535,"Vraska, Relic Seeker",Legendary Planeswalker - Vraska,6,BG,M,NM,2.49,Ixalan,"[+2]: Create a 2/2 black Pirate creature token with menace.[-3]: Destroy target artifact, creature, or enchantment. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool.[-10]: Target player's life total becomes 1."
4536,Gilded Lotus (Schematic Art),Artifact,5,,R,NM,2.79,The Brothers' War Retro Artifacts,{T}: Add three mana of any one color.
4537,"Mishra, Eminent One (Extended Art)",5/4 Legendary Creature - Human Artificer,5,UBR,M,NM,2.79,The Brothers' War Commander Decks Variants,"At the beginning of combat on your turn, create a token that's a copy of target noncreature artifact you control, except is name is Mishra's Warform and it's a 4/4 Construct artifact creature in addition to its other types. It gains haste until end of turn. Sacrifice it at the beginning of the next end step."
4538,Nature's Lore,Sorcery,2,G,U,NM,2.79,Ice Age,Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.
4539,Iron Maiden,Artifact,3,,R,NM,4.49,Urza's Legacy,"At the beginning of each opponent’s upkeep, Iron Maiden deals X damage to that player, where X is the number of cards in their hand minus 4."
4540,Queen Marchesa,3/3 Legendary Creature - Human Assassin,4,RWB,M,NM,4.49,Mystery Booster/The List,"Deathtouch, hasteWhen Queen Marchesa enters the battlefield, you become the monarch.At the beginning of your upkeep, if an opponent is the monarch, create a 1/1 black Assassin creature token with deathtouch and haste."
4541,Lava Spike,Sorcery - Arcane,1,R,S,NM,4.49,Time Spiral Remastered,Lava Spike deals 3 damage to target player or planeswalker.
4542,Exploration,Enchantment,1,G,R,NM,22.99,Dominaria Remastered,You may play an additional land on each of your turns.
4543,Dryad of the Ilysian Grove (Promo Pack),2/4 Enchantment Creature - Nymph Dryad,3,G,R,NM,22.99,Promo Pack,You may play an additional land on each of your turns.Lands you control are every basic land type in addition to their other types.
4544,Mana Flare,Enchantment,3,R,R,EX,6.39,3rd Edition,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
4545,Root Maze,Enchantment,1,G,R,NM,7.99,10th Edition,Artifacts and lands enter the battlefield tapped.
4546,Reforge the Soul,Sorcery,5,RR,R,NM,7.99,Commander 2016,"Each player discards their hand, then draws seven cards.Miracle {1}{R} "
4547,Crystalline Sliver,2/2 Creature - Sliver,2,WU,U,EX,6.39,Premium Deck Series: Slivers,All Slivers have shroud. 
4548,Scavenger Grounds,Land - Desert,0,,R,NM,3.99,Commander 2021,"{T}: Add {C}.{2}, {T}, Sacrifice a Desert: Exile all graveyards."
4549,Ankh of Mishra,Artifact,2,,R,NM,3.99,4th Edition,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller."
4550,Emperor Mihail II,3/3 Legendary Creature - Merfolk Noble,3,UU,R,NM,2.29,Dominaria United Commander Decks,"You may look at the top card of your library any time.You may cast Merfolk spells from the top of your library.Whenever you cast a Merfolk spell, you may pay {1}. If you do, create a 1/1 blue Merfolk creature token."
4551,Sepulchral Primordial,5/4 Creature - Avatar,7,BB,R,NM,2.29,Gatecrash,"IntimidateWhen Sepulchral Primordial enters the battlefield, for each opponent, you may put up to one target creature card from that player's graveyard onto the battlefield under your control."
4552,Island (236 C - Full Art),Basic Land - Island,0,,L,EX,1.03,Zendikar,{U}
4553,Spiteful Sliver,2/2  Creature - Sliver,3,R,R,NM,1.99,Modern Horizons,"Sliver creatures you control have ""Whenever this creature is dealt damage, it deals that much damage to target player or planeswalker."""
4554,Arcane Signet,Artifact,2,,C,NM,1.79,Adventures in the Forgotten Realms Commander Decks,{T}: Add one mana of any color in your commander's color identity.
4555,Elemental Token (Red/Green), 5/5 Token Creature - Elemental,0,,S,NM,1.79,Battle for Zendikar,
4556,Dig Up,Sorcery,1,G,R,NM,1.79,Innistrad: Crimson Vow,"Cleave {1}{B}{B}{G} Search your library for a [basic land] card, [reveal it,] put it into your hand, then shuffle."
4557,Canopy Tactician (Theme Booster),3/3 Creature - Elf Warrior,4,G,R,NM,1.29,Kaldheim,Other Elves you control get +1/+1.{T}: Add {G}{G}{G}.
4558,Saskia the Unyielding (Foil),3/4 Legendary Creature - Human Soldier,4,BRGW,M,NM,13.99,Secret Lair,"Vigilance, hasteAs Saskia the Unyielding enters the battlefield, choose a player.Whenever a creature you control deals combat damage to a player, it deals that much damage to the chosen player."
4559,"Gisela, Blade of Goldnight (Foil)",5/5 Legendary Creature - Angel,7,RWW,M,NM,13.99,Commander Anthology Vol. II,"Flying, first strikeIf a source would deal damage to an opponent or a permanent an opponent controls, that source deals double that damage to that player or permanent instead.If a source would deal damage to you or a permanent you control, prevent half that damage, rounded up."
4560,Pathbreaker Ibex (Foil Etched),3/3 Creature - Goat,6,GG,R,NM,13.99,Secret Lair,"Whenever Pathbreaker Ibex attacks, creatures you control gain trample and get +X/+X until end of turn, where X is the greatest power among creatures you control."
4561,Cuombajj Witches,1/3 Creature - Human Wizard,2,BB,C,EX,10.39,Arabian Nights,{T}: Cuombajj Witches deals 1 damage to any target and 1 damage to any target of an opponent's choice.
4562,Khalni Hydra,8/8 Creature - Hydra,8,GGGGGGGG,M,EX,10.39,Rise of the Eldrazi,Khalni Hydra costs {G} less to cast for each green creature you control.Trample
4563,Phyrexian Arena,Enchantment,3,BB,R,NM,12.99,Planechase,"At the beginning of your upkeep, you draw a card and you lose 1 life."
4564,"Gisela, Blade of Goldnight (Non-Foil)",5/5 Legendary Creature - Angel,7,RWW,M,NM,12.99,Secret Lair,"Flying, first strikeIf a source would deal damage to an opponent or a permanent an opponent controls, that source deals double that damage to that player or permanent instead.If a source would deal damage to you or a permanent you control, prevent half that damage, rounded up."
4565,Oswald Fiddlebender,2/2 Legendary Creature - Gnome Artificer,2,W,R,NM,2.49,Adventures in the Forgotten Realms," - {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery."
4566,Wilderness Reclamation,Enchantment,4,G,U,NM,2.49,Commander 2020,"At the beginning of your end step, untap all lands you control."
4567,Absorb,Instant,3,WUU,R,EX,5.59,Invasion,Counter target spell. You gain 3 life.
4568,Urza's Mine (Sphere),Land - Urza's Mine,0,,C,EX,5.59,Antiquities,"{T}: Add {1} to your mana pool. If you control an Urza's Power-Plant and an Urza's Tower, add {2} to your mana pool instead."
4569,One with the Multiverse (Extended Art),Enchantment,8,UU,M,NM,6.99,The Brothers' War Variants,"You may look at the top card of your library any time.You may play lands and cast spells from the top of your library.Once during each of your turns, you may cast a spell from your hand or the top of your library without paying its mana cost."
4570,Poppet Stitcher,2/3 Creature - Human Wizard,3,U,M,NM,6.99,Innistrad: Double Feature,"Whenever you cast an instant or sorcery spell, create a 2/2 black Zombie creature token with decayed. At the beginning of your upkeep, if you control three or more creature tokens, you may transform Poppet Stitcher.Poppet FactoryArtifactCreature tokens you control lose all abilities and have base power and toughness 3/3.At the beginning of your upkeep, you may transform Poppet Factory."
4571,Greater Good,Enchantment,4,GG,R,NM,6.49,Urza's Saga,"Sacrifice a creature: Draw cards equal to the sacrificed creature's power, then discard three cards."
4572,Wrath of God,Sorcery,4,WW,R,NM,6.49,Eternal Masters,Destroy all creatures. They can't be regenerated.
4573,"Vito, Thorn of the Dusk Rose (Promo Pack)",1/3 Legendary Creature - Vampire Cleric,3,B,R,NM,6.49,Promo Pack,"Whenever you gain life, target opponent loses that much life.{3}{B}{B}: Creatures you control gain lifelink until end of turn."
4574,Last One Standing,Sorcery ,3,BR,R,NM,3.49,Battlebond,"Choose a creature at random, then destroy the rest."
4575,Ancestral Vision,Sorcery,0,,R,NM,5.49,Time Spiral,Ancestral Vision is blue.Suspend 4 - {U} Target player draws three cards.
4576,Ghazban Ogre,2/2 Creature - Ogre,1,G,C,EX,4.39,Arabian Nights,"At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre."
4577,Galvanic Iteration (Extended Art),Instant,2,UR,R,NM,5.49,Innistrad: Midnight Hunt Variants,"When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.Flashback {1}{U}{R} "
4578,"Sorin, Lord of Innistrad",Legendary Planeswalker - Sorin,4,WB,M,EX,4.39,Dark Ascension,"[+1]: Put a 1/1 black Vampire creature token with lifelink onto the battlefield.[-2]: You get an emblem with ""Creatures you control get +1/+0.""[-6]: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control.|3|"
4579,Augur of Autumn (Promo Pack),2/3 Creature - Human Druid,3,GG,R,NM,5.49,Promo Pack,"You may look at the top card of your library any time.You may play lands from the top of your library. - As long as you control three or more creatures with different powers, you may cast creature spells from the top of your library."
4580,Tale's End,Instant,2,U,R,NM,1.99,Core Set 2020,"Counter target activated ability, triggered ability, or legendary spell."
4581,Archetype of Endurance,6/5 Enchantment Creature - Boar,8,GG,U,NM,1.99,Born of the Gods,Creatures you control have hexproof.Creatures your opponents control lose hexproof and can't have or gain hexproof.
4582,Mishra's Foundry (Extended Art),Land,0,,R,NM,1.99,The Brothers' War Variants,"{T}: Add {C}.{2}: Mishra's Foundry becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.{1}, {T}: Target attacking Assembly-Worker gets +2/+2 until end of turn."
4583,Bronze Guardian,*/5 Artifact Creature - Golem,5,W,R,NM,0.79,The Brothers' War Commander Decks,Double strikeWard {2} Other artifacts you control have ward {2}.Bronze Guardian's power is equal to the number of artifacts you control.
